"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr"
"Houston","B12",37,32,5,64.3,118.95539355512,85.651233412462,0.97762861047936,50.3,44,30.8
"Connecticut","BE",40,37,3,65.5,127.2111549945,91.955518811005,0.97662073370438,56.9,44.4,31.9
"Purdue","B10",39,34,5,68,125.86180548837,93.783339162668,0.96717753853778,55.8,47.5,41.3
"Auburn","SEC",35,27,8,70.8,120.41944252617,92.606713166138,0.95347496982418,54.2,43.7,38.3
"Arizona","P12",36,27,9,73.2,120.55597182631,93.032821914683,0.95167895422872,54.5,48.4,36.4
"Iowa St.","B12",37,29,8,68.2,113.59566641174,87.982919746754,0.9497066622888,52,47.4,35.4
"Tennessee","SEC",36,27,9,70.1,115.78443414033,90.472872868667,0.94463342607893,51.1,45.3,33.7
"North Carolina","ACC",37,29,8,71.4,118.70585297371,93.870427618716,0.93699311258525,51.5,46.7,36.2
"Duke","ACC",36,27,9,67.4,120.61036830658,95.710976224479,0.93457399979346,54.6,48.6,34.3
"Marquette","BE",37,27,10,69.9,117.96745703899,94.402774145948,0.92841816475623,55,49.8,25.5
"Creighton","BE",35,25,10,67.6,120.56701436605,96.608708359312,0.92741707998087,57.3,46.3,24.7
"Illinois","B10",38,29,9,70.6,124.55899383463,100.26539601838,0.92379241716406,53.6,48,37.1
"Alabama","SEC",37,25,12,73.2,126.05149515397,101.56966291333,0.92296806841723,56.3,49.7,35.3
"Gonzaga","WCC",34,26,8,69.7,121.98585338039,98.340785128513,0.92257519788908,57,47.3,30.7
"Saint Mary's","WCC",33,25,8,63.3,114.54092531385,93.543268028865,0.9112378079911,52.8,45.1,28
"Michigan St.","B10",35,20,15,66.2,113.89657281673,93.373743763314,0.90761258034065,51.6,48,29.3
"Baylor","B12",34,23,11,66.7,122.41787543469,100.70987708992,0.9041975836724,55.7,51.4,40.2
"St. John's","BE",33,20,13,70.2,119.11432116576,98.089861458313,0.90319996087989,50.9,49.5,27.3
"Kansas","B12",33,22,11,69.9,114.23130366007,94.085819135908,0.90301715336684,53.5,48.3,32.5
"BYU","B12",34,23,11,69.9,119.75576042636,98.723537358069,0.90212005138569,54.8,48.2,25.4
"Texas","B12",34,21,13,68.2,116.42212484243,96.745681095254,0.89369710354394,53,48.1,30.2
"Clemson","ACC",36,24,12,67.1,117.61017524087,97.745782699855,0.89355345920769,53.9,48.2,30.7
"Wisconsin","B10",36,22,14,66.1,118.98084919751,98.901405587777,0.8933713050362,52.2,52,33.8
"Florida","SEC",36,24,12,72.7,119.94256867726,99.957817517751,0.89051815557718,51.8,49.3,38.4
"Colorado","P12",37,26,11,68.6,117.78052586771,98.471377682463,0.88686948832233,55.4,49.7,35.1
"Kentucky","SEC",33,23,10,73.4,122.12524999304,102.23293236238,0.88540316574246,57.2,49.6,30.4
"New Mexico","MWC",35,25,10,73.7,113.67969285681,95.605783078041,0.87987446467073,50.5,48.1,33.2
"San Diego St.","MWC",35,24,11,67,111.96986298561,94.21674664575,0.87924138416006,49.9,47.3,36.7
"Nebraska","B10",34,23,11,69.8,115.98857035954,97.598879315603,0.87923385350666,53.1,46.7,32.6
"Villanova","BE",34,18,16,64.5,110.70797386,93.959606957196,0.86833940017036,50.6,48.3,26.8
"Mississippi St.","SEC",35,21,14,68,111.82058472106,94.976326247792,0.86733314510039,51.4,48,37.4
"Texas Tech","B12",34,23,11,67.4,116.93078644673,99.342719637499,0.86698673334681,52.6,49.2,34.2
"Utah","P12",37,22,15,70.8,114.31309527945,97.51454370912,0.86150008056798,54.4,48.8,27.1
"Wake Forest","ACC",35,21,14,69.1,116.55962563452,99.698036846073,0.85777787527052,54.2,49.1,32
