"team","conf","games","wins","losses","adj_t","adj_o","adj_d","barthag","efg","def_efg","ftr"
"USC","B10",27,14,13,69.2,114.961726423,101.34411769297,0.80998156850486,54.4,51.4,36.3
"Northwestern","B10",27,14,13,65.5,112.11171935869,99.079865306332,0.80550307502273,49.8,50.5,30.4
"San Francisco","WCC",28,21,7,68.3,110.56033347001,97.71781135366,0.80533709368969,53.4,47.6,36.5
"Kansas St.","B12",27,13,14,68.1,112.32709871721,99.389919948718,0.80332252118914,51.9,49.4,27.5
"George Mason","A10",26,20,6,65.1,104.97233950493,93.01929632442,0.80062961589132,51.2,44.3,41.7
"Pittsburgh","ACC",27,16,11,67.2,115.46130416946,102.44873444324,0.79820105236042,53.2,51.2,34.5
"McNeese St.","Slnd",26,20,6,65.3,112.61667005151,99.966169999296,0.79743122115533,52.7,48.6,34.9
"Colorado St.","MWC",27,18,9,67,112.69192957673,100.60190891838,0.78669131886286,54.2,49.1,30.3
"TCU","B12",27,15,12,67.2,106.78712830141,95.332324329298,0.78665635612036,47.6,50.8,33.2
"Penn St.","B10",28,15,13,71,113.18612547335,101.0496505002,0.7865659147656,53.8,52.1,38.2
"Iowa","B10",27,15,12,71.4,118.41914112287,105.99054105401,0.78161896726973,57.1,54.8,27.2
"Utah","B12",27,15,12,69.5,111.28986614685,99.775977569215,0.77832359558505,52.6,47.8,36.5
"Yale","Ivy",23,17,6,68.8,114.94840615326,103.16529878946,0.77621341898698,55.7,48.5,32.5
"UCF","B12",27,14,13,72.5,114.56625963625,103.4846963552,0.76312520844978,49,51.9,35.8
"Butler","BE",27,13,14,68.4,114.912613306,103.96364631122,0.7597852890456,53.9,48.2,41
"Wake Forest","ACC",27,19,8,67.6,107.27811996219,97.092796356668,0.75900123399369,50.3,46.7,37.1
"LSU","SEC",27,14,13,69.1,109.74444990021,99.460315379285,0.75612505303258,52.1,46.9,32.8
"Rutgers","B10",28,14,14,69.4,114.57819064626,103.90650958731,0.75478696576549,50.9,52.1,37
"Saint Joseph's","A10",27,17,10,69.1,109.72743483801,99.602077563821,0.75276031615646,52.6,46.4,30.4
"St. Bonaventure","A10",27,18,9,64.6,108.75289544832,98.940297954009,0.74790298701237,51.4,49.7,32.1
"Dayton","A10",26,17,9,66.5,116.20302348249,105.82092223775,0.74579164292764,53.2,51.5,39.3
"South Carolina","SEC",27,11,16,66.2,108.45322868305,99.185430471352,0.73638639479274,49.3,51,44.1
"Stanford","ACC",27,17,10,67.7,112.63563952076,103.05217246658,0.73548109232819,50.1,50.6,31.9
"Nevada","MWC",27,15,12,64.4,112.55418792114,103.04275145783,0.73406473980845,55.3,51.6,37.1
"Florida St.","ACC",27,16,11,71,107.59039001003,98.891375000424,0.7250311935603,51,48,39.8
"UC Irvine","BW",27,22,5,69.8,103.12867170635,94.803315616901,0.72471873015113,50.4,45.1,36.9
"Oregon St.","WCC",28,19,9,64.8,114.57252262761,105.58946273897,0.71889123233513,54.7,50.8,38.2
"High Point","BSth",28,23,5,67.3,117.65116747934,108.43676394238,0.71867604970499,56.4,49.1,39.2
"Grand Canyon","WAC",25,19,6,72.7,106.14576400155,98.163028537266,0.71076692839036,50.3,46.9,44
"Georgetown","BE",27,16,11,69,105.23216834566,97.482516927505,0.70676085015584,50.4,47.3,25.2
"Arkansas St.","SB",28,19,9,70.2,108.30573763168,100.53198568446,0.7019383377289,49.4,45.9,33.2
"Minnesota","B10",27,14,13,63,109.36703110602,101.61387970346,0.69964069828547,50.3,50.1,32.3
"Bradley","MVC",28,21,7,66.9,111.4988596757,103.8562473156,0.69350915772294,57.2,48.2,31.9
"Notre Dame","ACC",27,12,15,65.5,112.92751674738,105.20847911395,0.69300933267972,52.6,52.1,30.3
"Colorado","B12",27,11,16,68,107.24501145673,100.11637850575,0.68804635627219,51.3,50,37.2
"UNLV","MWC",27,14,13,66.3,107.61953005857,100.60385108205,0.68465189270375,50.1,49.7,34.1
"Lipscomb","ASun",27,18,9,67.3,108.14545490431,101.17443169521,0.68271067319369,55,49,29.9
"Providence","BE",27,12,15,67.1,111.67969054412,104.51466046042,0.68190416518356,52.8,48,30.8
"Virginia","ACC",27,13,14,61.4,109.83749128586,103.14694231442,0.67321103166889,52.7,50.7,26.6
"Washington St.","WCC",29,16,13,70.8,111.68253546179,105.00416593168,0.67020085707278,56.2,51.7,32.4
"N.C. State",NA,27,11,16,65.8,108.8295974799,102.57634792445,0.66385552063724,48.8,50.7,32.2
"Akron","MAC",25,19,6,72.6,110.97223324815,104.63802738723,0.662820616091,54.7,48.8,25.7
"Washington","B10",26,12,14,68.9,108.78284917853,102.66980039734,0.66040738546795,51.1,51.9,35.6
"UAB","Amer",26,17,9,70,116.88000729207,110.41062822078,0.65809726664382,51,51.2,31.5
"North Dakota St.","Sum",27,17,10,65.8,116.83145516603,110.40887646159,0.65706247111178,58.8,51.5,31.8
"South Dakota St.","Sum",26,16,10,69.8,111.07258946026,105.2009339512,0.65126069252612,54.7,50.6,29.6
"Oklahoma St.","B12",27,13,14,71.8,107.67486471741,102.1350567702,0.64735472437039,48.4,54.6,42.9
"Northern Iowa","MVC",28,18,10,66.3,109.45660575344,104.39478115573,0.63286038663035,55.8,51.7,36.5
"St. Thomas","Sum",26,17,9,68.6,114.93042073941,109.63164392898,0.63246580964065,58.4,52.9,34
"George Washington","A10",27,17,10,68.1,106.41587514279,101.58894528937,0.63037607598639,50.2,47.4,40
"Georgia Tech","ACC",27,13,14,69.6,105.75343590373,101.10152340177,0.62652294123671,50.4,49.4,31.9
"Florida Atlantic","Amer",26,14,12,70.4,112.44611020729,107.54496904569,0.62539179015183,53.6,50.6,32.4
"Troy","SB",26,16,10,66.5,106.14247487832,101.55681831869,0.62431041145259,50.7,48.4,35
"UTEP","CUSA",24,14,10,69,107.36546897728,102.74415854666,0.62385917082576,50.6,51.8,36.5
"Davidson","A10",26,15,11,66.3,112.34757435206,107.67007250158,0.61988167392454,53.1,51.6,30.7
"Samford","SC",27,19,8,71.2,109.95216200922,105.47911343947,0.61718639448281,54.6,51.9,27.1
"New Mexico St.","CUSA",24,12,12,65.9,104.01187826901,99.923756058019,0.61328054586587,46.4,46.6,34
"Middle Tennessee","CUSA",25,16,9,68.8,109.13861992015,104.97019909957,0.61012477559998,50.9,48.9,32.5
"Illinois St.","MVC",28,16,12,65.9,114.19655421574,109.84193305776,0.60995088697524,57.2,54.4,32
"Loyola Chicago","A10",26,17,9,68,106.65023945818,102.67087873714,0.60761571493731,52.7,49.1,33.1
"North Alabama","ASun",27,18,9,67.4,110.87769055862,106.84091327668,0.60503708097888,51.1,50.8,30.4
"UNC Wilmington","CAA",26,19,7,66.3,111.53915057869,107.85814282687,0.59530158749524,51.9,51.7,37.9
"Saint Louis","A10",25,13,12,68.2,107.44768283199,103.90681466601,0.59516523842161,55.2,47.9,30.6
"DePaul","BE",28,11,17,68.1,107.77587217412,104.28296277017,0.59360218360776,51.7,51.4,27.9
"Cal St. Northridge","BW",25,18,7,72.8,106.36573870749,103.09171812853,0.58892939199292,51.7,49.6,34.8
"Kent St.","MAC",25,16,9,66.3,103.65936503922,100.53098156923,0.58720155533574,48.2,48.3,29.9
"California","ACC",27,12,15,68.1,110.0097967089,106.78419100573,0.58473323474645,48.2,52.6,38.1
"Jacksonville St.","CUSA",25,16,9,66,109.03549520329,106.06717084366,0.57869298471163,50.3,48.7,31.7
"Utah Valley","WAC",25,18,7,68.4,104.6188248476,102.01075081832,0.57207469764372,50.1,48.7,39.6
"Northern Colorado","BSky",26,18,8,69.7,111.58551353893,108.82977189556,0.57140172148776,57.1,53.1,33
"Virginia Tech","ACC",27,12,15,65.7,107.81706609476,105.19183490883,0.57039873799574,51.1,52.2,31.3
"Appalachian St.","SB",26,15,11,64.3,101.82415854895,99.455322672325,0.56726399611668,50.5,45.7,35.4
"Wichita St.","Amer",26,16,10,69.4,106.76879623482,104.3917896775,0.56437050750466,49.3,50.3,34.7
"Kennesaw St.","CUSA",25,13,12,71,104.47485621829,102.18515053821,0.5633676072047,48.7,47.8,38.6
"Louisiana Tech","CUSA",25,15,10,65.1,108.53660296375,106.28609806063,0.55995001582361,52.6,48.6,34
"Rhode Island","A10",25,16,9,71.2,106.94751713356,104.84019057412,0.55696701018543,52.6,48.3,42.3
"South Alabama","SB",27,17,10,63.9,105.15617888946,103.11009262648,0.55625282304717,51,48.1,32.2
"Western Kentucky","CUSA",25,13,12,73.2,103.62729388083,101.62978605703,0.55572677251944,48.7,47.8,31.6
"James Madison","SB",27,17,10,65.7,109.7849746629,107.75322680448,0.55349942234332,51.3,50.7,29.9
"Syracuse","ACC",27,11,16,69.2,108.58021894312,106.74395924739,0.54887991007621,50.4,52.8,31.9
"Duquesne","A10",26,10,16,65.6,104.65763369005,102.98527742069,0.54617952572719,49,49.8,29.7
"Chattanooga","SC",27,19,8,67.5,113.59844510514,111.79604171912,0.5458525928425,56,51.6,31.7
"Tulane","Amer",25,13,12,67.6,106.55073248876,105.26494080297,0.5348482525237,50.9,48.3,36
"UC Santa Barbara","BW",26,16,10,65.6,107.48630330844,106.31218615728,0.53153567573933,55.3,48,28.2
"Cal Baptist","WAC",26,13,13,67.2,107.79402220911,106.69217987039,0.52950440921614,49,50.8,29.7
"Seattle","WAC",24,8,16,66.8,105.95224774804,104.92565002699,0.52796321504773,47.7,53.3,40.7
"Ohio","MAC",26,14,12,71.1,107.86469039352,106.97300637657,0.52384740884894,53.6,51.9,34
"Wofford","SC",27,13,14,64.7,109.31357554395,108.46823561669,0.5223044479549,52.6,51.6,28.7
"Cornell","Ivy",22,12,10,71.6,112.08776954605,111.36096246667,0.51869425408171,56.8,52.9,29.8
"Belmont","MVC",28,18,10,71.3,112.78549066042,112.06781493468,0.51834439203865,55.4,55.1,26.7
"Milwaukee","Horz",27,17,10,69.1,107.19020918152,106.52693844424,0.51783759751043,51.4,51.2,37.9
"Loyola Marymount","WCC",28,15,13,67.7,103.27135950002,102.68335824555,0.51641041326839,49.7,48.2,28.5
"Sam Houston St.","CUSA",25,8,17,68.4,109.93310987517,109.31258786175,0.51626828585167,50.6,52.7,34.8
"UNC Greensboro","SC",26,16,10,64.4,105.07578082648,104.48570528665,0.51618502515849,50.7,47.1,27
"Purdue Fort Wayne",NA,27,17,10,70.1,110.90235980025,110.28119545469,0.51614253405067,55.5,53.9,29.1
"Montana","BSky",25,17,8,68,110.97238830523,110.37836201297,0.51542608444366,56.1,53.2,32.8
"San Jose St.","MWC",27,11,16,66.7,108.73386809409,108.21208089114,0.51382610435321,50.5,52.3,32.6
"Illinois Chicago","MVC",26,14,12,70,108.37061967554,107.94599189561,0.51128530159858,51.9,51.7,36.4
"UC Riverside","BW",27,16,11,67.8,108.54932483378,108.12456605108,0.51127017396693,49.1,51.7,27.5
"Texas A&M Corpus Chris","Slnd",25,13,12,69.1,106.62000902306,106.21165832023,0.51103049412414,51.9,51.1,37.5
"Charleston",NA,28,20,8,71.2,105.13725569547,104.85922779585,0.50761221239749,51.7,50.2,33.9
"East Tennessee St.","SC",27,15,12,66,106.12272884284,105.88049272866,0.50656960821052,50,50.3,33.5
"Temple","Amer",27,13,14,69.9,109.31971599286,109.10260738506,0.50571516920495,49.9,50.7,43.2
"Bryant","AE",26,15,11,73,106.45665674345,106.37043577807,0.50232943553028,50.7,48,30.5
"Furman","SC",26,18,8,66.2,107.2363443463,107.33423568168,0.49737676035123,51.9,48.9,34
"Boston College","ACC",27,12,15,67.1,105.35282633376,105.47363384923,0.49670518949686,49.4,51.2,31.4
"Florida Gulf Coast","ASun",28,15,13,65.8,107.51418756148,107.73469186372,0.49410988093373,53.7,50.5,23.4
"Nebraska Omaha","Sum",28,16,12,68.5,110.0856683346,110.38162608758,0.49228174442199,53,54.6,36.7
"Rice","Amer",27,13,14,66.2,107.30498828852,107.59390870086,0.49227003473831,49.7,47.7,44
"Murray St.","MVC",28,13,15,65.5,105.06732682699,105.35347000755,0.49218142781808,49.7,51.7,41
"Miami OH","MAC",25,18,7,69.8,107.90736221785,108.56628748356,0.48250463650951,55.1,52.4,29.5
"Wyoming","MWC",27,11,16,65.4,103.23808159567,103.87274807362,0.48238704499458,51,50.8,31.5
"Lamar","Slnd",25,15,10,66.2,103.07653434264,103.75772160507,0.48107194994176,48.2,47.9,28.8
"Radford","BSth",27,15,12,64.1,108.56053971371,109.34640297121,0.47927489518983,51,51.4,41.6
"Norfolk St.","MEAC",24,16,8,67.4,107.77882718223,108.57077560248,0.47896443644343,52.5,50.3,40.4
"Miami FL","ACC",27,6,21,67.9,113.66177802106,114.58792616299,0.47668553727525,52.6,56.8,28.4
"Eastern Kentucky","ASun",27,15,12,69,109.42041518077,110.38480587872,0.47479322350089,49.8,52.3,26.3
"Robert Morris","Horz",29,21,8,69.2,103.43057422357,104.56580491309,0.46865771162285,50.5,50.2,38.6
"East Carolina","Amer",26,14,12,67,106.93988311394,108.11865280346,0.46852470487869,48.7,51.8,36.3
"Towson","CAA",28,18,10,64.2,103.55479429672,104.73719447288,0.46740521739241,47,49.4,27.8
"Elon","CAA",27,15,12,65.6,106.30611287927,107.59024174714,0.46553414897253,49.8,47.1,39.8
"Central Connecticut","NEC",25,19,6,66.5,100.46425184093,101.84889953045,0.4607269820842,52.1,48,26.4
"Nicholls St.","Slnd",25,14,11,69.2,105.7586400357,107.29820969668,0.45854459832789,48.2,48.4,31.5
"Southern Illinois","MVC",27,10,17,68.6,104.44511379327,105.97689766562,0.4582391897762,51,51.8,33.6
"Montana St.","BSky",27,11,16,67.2,104.94197376658,106.66447980184,0.45332941771971,52.1,49.3,33.2
"Southeastern Louisiana","Slnd",26,16,10,68.3,103.8779737339,105.77771774413,0.44808413375031,50.3,50.8,34.5
"Central Michigan","MAC",23,8,15,68.3,105.41121855676,107.37363613465,0.44716683324802,49.8,53.5,34.9
"Jacksonville","ASun",26,14,12,68.5,101.25143689456,103.14026729838,0.4470605884942,50.3,51.1,26.8
"Northeastern","CAA",28,15,13,68.6,104.34367108498,106.38466004471,0.44453637227436,51.2,50.1,28.3
